Source,Target,Type,id,label,timeset,weight
2387923638366457345,9538981951029428093,Undirected,0,,,1.0
2387923638366457345,14567525697273436984,Undirected,1,,,1.0
2387923638366457345,5391997511119663144,Undirected,2,,,1.0
2387923638366457345,18027384967486251846,Undirected,3,,,1.0
2387923638366457345,14737323266640254239,Undirected,4,,,1.0
2387923638366457345,16509191898847050159,Undirected,5,,,1.0
2387923638366457345,11382260003990313531,Undirected,6,,,1.0
2387923638366457345,18041550377195075615,Undirected,7,,,1.0
2387923638366457345,1850799375123583731,Undirected,8,,,1.0
2387923638366457345,2607977197228111344,Undirected,9,,,1.0
2387923638366457345,14879621471146866348,Undirected,10,,,1.0
2387923638366457345,4273144729754290623,Undirected,11,,,1.0
2387923638366457345,11914394199787612404,Undirected,12,,,1.0
2387923638366457345,753859762270217976,Undirected,13,,,1.0
2387923638366457345,8687980360617423592,Undirected,14,,,1.0
2387923638366457345,4298843519429772729,Undirected,15,,,1.0
2387923638366457345,14754914666618673034,Undirected,16,,,1.0
2387923638366457345,6030554480070316553,Undirected,17,,,1.0
2387923638366457345,6197844616228794958,Undirected,18,,,1.0
2387923638366457345,8699103415410485888,Undirected,19,,,1.0
2387923638366457345,7549931035263924296,Undirected,20,,,1.0
2387923638366457345,7334586657259930096,Undirected,21,,,1.0
9538981951029428093,1652707579035581190,Undirected,22,,,1.0
9538981951029428093,15233888486799151910,Undirected,23,,,1.0
9538981951029428093,13744801637657881148,Undirected,24,,,1.0
9538981951029428093,18320181421412834035,Undirected,25,,,1.0
9538981951029428093,5823634696802233399,Undirected,26,,,1.0
9538981951029428093,1746824523414902332,Undirected,27,,,1.0
9538981951029428093,11164538644217510132,Undirected,28,,,1.0
9538981951029428093,1700355072026632869,Undirected,29,,,1.0
9538981951029428093,13437267681093979568,Undirected,30,,,1.0
9538981951029428093,4851123437662657262,Undirected,31,,,1.0
9538981951029428093,12720390851435857710,Undirected,32,,,1.0
9538981951029428093,5559625056919703741,Undirected,33,,,1.0
9538981951029428093,7669123959119758658,Undirected,34,,,1.0
9538981951029428093,1692633454444431826,Undirected,35,,,1.0
9538981951029428093,16498807611563144242,Undirected,36,,,1.0
9538981951029428093,2782643864325931334,Undirected,37,,,1.0
9538981951029428093,6565195518442839565,Undirected,38,,,1.0
9538981951029428093,5875091496189598280,Undirected,39,,,1.0
9538981951029428093,14106405035056890797,Undirected,40,,,1.0
9538981951029428093,6860203532226110593,Undirected,41,,,1.0
9538981951029428093,11418927758183890669,Undirected,42,,,1.0
1652707579035581190,15772386642608605752,Undirected,43,,,1.0
1652707579035581190,2007077440857161272,Undirected,44,,,1.0
1652707579035581190,15186679416055632930,Undirected,45,,,1.0
1652707579035581190,14073914133993289118,Undirected,46,,,1.0
1652707579035581190,7683241586280271128,Undirected,47,,,1.0
1652707579035581190,_IAYDwkIjfcJ,Undirected,48,,,1.0
1652707579035581190,KJhVN2849sUJ,Undirected,49,,,1.0
1652707579035581190,e9NiX_kH-rEJ,Undirected,50,,,1.0
1652707579035581190,d82wdFE0GsEJ,Undirected,51,,,1.0
1652707579035581190,iARFhIrxN04J,Undirected,52,,,1.0
1652707579035581190,12646640258824307192,Undirected,53,,,1.0
1652707579035581190,1drDu0FnXXgJ,Undirected,54,,,1.0
1652707579035581190,10458758695335891163,Undirected,55,,,1.0
1652707579035581190,MNz88zlOQzgJ,Undirected,56,,,1.0
1652707579035581190,AdG89uPNLhgJ,Undirected,57,,,1.0
1652707579035581190,18384332138642054172,Undirected,58,,,1.0
1652707579035581190,PmcVJckPUsAJ,Undirected,59,,,1.0
1652707579035581190,EBTWMKNAYGEJ,Undirected,60,,,1.0
1652707579035581190,11503714821264991477,Undirected,61,,,1.0
1652707579035581190,GOmLQ4QXHB4J,Undirected,62,,,1.0
1652707579035581190,Rf-roM00Vk4J,Undirected,63,,,1.0
1652707579035581190,GmJns5sX_MMJ,Undirected,64,,,1.0
13744801637657881148,6335714865104237592,Undirected,65,,,1.0
13744801637657881148,14169706109037225952,Undirected,66,,,1.0
13744801637657881148,t0zYLbqy7mkJ,Undirected,67,,,1.0
13744801637657881148,18254734336569338174,Undirected,68,,,1.0
